"Date","Price","Open","High","Low","Vol.","Change %"
"01/28/2022","92.062","92.062","92.062","92.062","0.06K","-0.26%"
"01/27/2022","92.300","92.250","92.900","90.310","0.33K","0.51%"
"01/26/2022","91.835","89.395","92.445","89.395","0.07K","-1.86%"
"01/25/2022","93.580","92.385","95.510","92.385","0.05K","0.62%"
"01/24/2022","93.000","88.605","93.600","88.605","0.07K","17.75%"
"01/21/2022","78.980","74.765","81.815","74.765","0.05K","5.02%"
"01/20/2022","75.205","71.000","75.590","71.000","0.05K","-0.52%"
"01/19/2022","75.600","73.950","76.500","71.420","0.05K","-3.49%"
"01/18/2022","78.335","83.275","84.600","74.890","0.13K","0.15%"
"01/17/2022","78.220","84.600","84.600","74.890","0.08K","-10.06%"
"01/14/2022","86.970","89.000","91.800","85.700","0.12K","1.77%"
"01/13/2022","85.460","72.000","85.980","72.000","0.14K","13.71%"
"01/12/2022","75.155","82.250","82.250","73.400","0.09K","-4.55%"
"01/11/2022","78.735","81.225","82.050","80.000","0.04K","-6.94%"
"01/10/2022","84.605","86.500","90.400","84.460","0.07K","-4.05%"
"01/07/2022","88.175","95.800","96.270","86.580","0.03K","-8.63%"
"01/06/2022","96.500","95.265","97.020","93.300","0.07K","5.44%"
"01/05/2022","91.520","95.700","95.700","88.385","0.14K","3.13%"
"01/04/2022","88.740","85.000","96.625","85.000","0.31K","10.33%"
"01/03/2022","80.435","80.435","80.435","80.435","","14.34%"
"12/31/2021","70.345","82.000","82.000","67.365","0.08K","-19.17%"
"12/30/2021","87.027","94.350","94.350","88.050","0.09K","-9.79%"
"12/29/2021","96.475","99.000","104.600","99.000","0.07K","-9.49%"
"12/28/2021","106.590","106.590","106.590","106.590","0.00K","-0.29%"
"12/27/2021","106.895","100.000","105.500","100.000","0.01K","-19.37%"
"12/23/2021","132.580","158.300","158.300","129.360","0.08K","-23.31%"
"12/22/2021","172.875","174.300","176.655","172.720","0.04K","-4.10%"
"12/21/2021","180.265","157.700","174.800","157.700","0.51K","22.69%"
"12/20/2021","146.925","140.820","148.505","139.400","0.41K","7.31%"
"12/17/2021","136.915","124.500","139.500","124.500","0.68K","-4.10%"
"12/16/2021","142.765","128.710","143.000","126.190","0.85K","7.92%"
"12/15/2021","132.285","131.100","132.405","120.600","1.02K","3.11%"
"12/14/2021","128.300","118.950","129.065","116.775","0.64K","10.52%"
"12/13/2021","116.085","115.400","118.625","112.440","0.47K","9.75%"
"12/10/2021","105.775","101.605","107.750","100.830","0.24K","5.31%"
"12/09/2021","100.445","98.500","104.350","97.170","0.42K","-1.04%"
"12/08/2021","101.500","98.600","103.835","98.600","0.36K","5.86%"
"12/07/2021","95.885","95.000","95.880","94.595","0.24K","6.62%"
"12/06/2021","89.930","86.600","90.275","86.600","0.09K","0.50%"
"12/03/2021","89.480","91.590","92.050","89.620","0.09K","-5.64%"
"12/02/2021","94.830","91.600","92.460","89.200","0.17K","-0.88%"
"12/01/2021","95.675","92.600","95.100","92.600","0.29K","3.42%"
"11/30/2021","92.515","98.000","98.000","95.015","0.03K","-0.68%"
"11/29/2021","93.146","94.250","94.250","92.450","0.22K","6.12%"
"11/26/2021","87.772","92.450","94.400","87.750","0.08K","-5.92%"
"11/25/2021","93.300","93.300","93.300","93.300","","-0.73%"
"11/24/2021","93.985","93.850","93.850","93.850","0.01K","3.37%"
"11/23/2021","90.925","86.950","91.400","86.950","0.04K","8.22%"
"11/22/2021","84.015","84.250","86.020","81.950","0.06K","-3.57%"
"11/19/2021","87.125","91.125","91.125","86.000","0.01K","-8.45%"
"11/18/2021","95.165","93.600","95.300","91.365","0.04K","0.17%"
"11/17/2021","95.005","97.990","99.850","95.085","0.05K","0.87%"
"11/16/2021","94.190","84.380","91.490","84.380","0.06K","17.82%"
"11/15/2021","79.945","78.295","82.095","78.285","0.05K","5.64%"
"11/12/2021","75.675","77.770","77.770","74.060","0.03K","1.18%"
"11/11/2021","74.790","72.000","75.100","72.000","0.01K","6.65%"
"11/10/2021","70.125","66.710","70.370","64.505","0.06K","-3.39%"
"11/09/2021","72.585","76.500","76.900","74.005","0.03K","-8.21%"
"11/08/2021","79.075","80.770","80.770","77.005","0.05K","6.82%"
"11/05/2021","74.025","73.160","74.640","73.030","0.08K","0.89%"
"11/04/2021","73.375","77.525","77.525","72.815","0.06K","-4.14%"
"11/03/2021","76.540","73.520","80.045","73.520","0.07K","13.22%"
"11/02/2021","67.605","65.175","70.665","62.840","0.06K","3.02%"
"11/01/2021","65.620","63.590","65.750","63.590","0.01K","1.16%"
"10/29/2021","64.865","72.620","72.620","70.000","0.02K","-15.79%"
