settlementDate,settlementPeriod,DAM,DAI
2020-12-27,42.0,25378.0,134.0
2020-12-27,43.0,26521.0,79.0
2020-12-27,44.0,28213.0,-608.0
2020-12-27,45.0,29440.0,-546.0
2020-12-27,46.0,30347.0,-96.0
2020-12-27,47.0,31171.0,-647.0
2020-12-27,48.0,32323.0,-441.0
2020-12-28,1.0,32768.0,401.0
2020-12-28,2.0,32225.0,-436.0
2020-12-28,3.0,31870.0,-924.0
2020-12-28,4.0,32494.0,-459.0
2020-12-28,5.0,33191.0,208.0
2020-12-28,6.0,33406.0,183.0
2020-12-28,7.0,33437.0,-81.0
2020-12-28,8.0,33771.0,153.0
2020-12-28,9.0,33739.0,-81.0
2020-12-28,10.0,33921.0,85.0
2020-12-28,11.0,32087.0,-596.0
2020-12-28,12.0,31784.0,-540.0
2020-12-28,13.0,31096.0,-165.0
2020-12-28,14.0,30277.0,499.0
2020-12-28,15.0,28601.0,959.0
2020-12-28,16.0,28267.0,1183.0
2020-12-28,17.0,28488.0,1414.0
2020-12-28,18.0,27692.0,1900.0
2020-12-28,19.0,26085.0,1554.0
2020-12-28,20.0,25053.0,959.0
2020-12-28,21.0,23547.0,615.0
2020-12-28,22.0,23195.0,625.0
2020-12-28,23.0,22816.0,930.0
2020-12-28,24.0,22420.0,1104.0
2020-12-28,25.0,22333.0,1449.0
2020-12-28,26.0,21754.0,959.0
2020-12-28,27.0,21644.0,1259.0
2020-12-28,28.0,21699.0,1784.0
2020-12-28,29.0,20602.0,1747.0
2020-12-28,30.0,20625.0,1907.0
2020-12-28,31.0,20184.0,2865.0
2020-12-28,32.0,19281.0,2057.0
2020-12-28,33.0,17920.0,1918.0
2020-12-28,34.0,16388.0,564.0
2020-12-28,35.0,16205.0,1002.0
2020-12-28,36.0,16956.0,1747.0
2020-12-28,37.0,17686.0,1286.0
2020-12-28,38.0,18439.0,1276.0
2020-12-28,39.0,19261.0,757.0
2020-12-28,40.0,20169.0,785.0
2020-12-28,41.0,20415.0,-629.0
2020-12-28,42.0,21514.0,-605.0
2020-12-28,43.0,23112.0,-237.0
2020-12-28,44.0,24622.0,-60.0
2020-12-28,45.0,26017.0,303.0
2020-12-28,46.0,27693.0,-267.0
2020-12-28,47.0,29601.0,-1124.0
2020-12-28,48.0,30728.0,-1539.0
2020-12-29,1.0,30932.0,-1462.0
2020-12-29,2.0,30654.0,-1796.0
2020-12-29,3.0,30944.0,-1484.0
2020-12-29,4.0,31439.0,-932.0
2020-12-29,5.0,31603.0,-762.0
2020-12-29,6.0,31825.0,-923.0
2020-12-29,7.0,32116.0,-884.0
2020-12-29,8.0,32312.0,-927.0
2020-12-29,9.0,32601.0,-807.0
2020-12-29,10.0,32486.0,-760.0
2020-12-29,11.0,31816.0,-943.0
2020-12-29,12.0,31734.0,-1143.0
2020-12-29,13.0,30704.0,-1136.0
2020-12-29,14.0,29096.0,-1300.0
2020-12-29,15.0,27909.0,778.0
2020-12-29,16.0,26871.0,756.0
2020-12-29,17.0,25300.0,-109.0
2020-12-29,18.0,23623.0,-393.0
2020-12-29,19.0,22500.0,-13.0
2020-12-29,20.0,21581.0,-45.0
2020-12-29,21.0,20492.0,-615.0
2020-12-29,22.0,19903.0,-626.0
2020-12-29,23.0,20904.0,64.0
2020-12-29,24.0,21093.0,453.0
2020-12-29,25.0,20801.0,319.0
2020-12-29,26.0,20702.0,278.0
2020-12-29,27.0,20697.0,490.0
2020-12-29,28.0,20909.0,915.0
2020-12-29,29.0,20776.0,639.0
2020-12-29,30.0,20795.0,779.0
2020-12-29,31.0,20703.0,635.0
2020-12-29,32.0,20121.0,1045.0
2020-12-29,33.0,18759.0,514.0
2020-12-29,34.0,16963.0,-219.0
2020-12-29,35.0,16097.0,-470.0
2020-12-29,36.0,16278.0,21.0
2020-12-29,37.0,16684.0,178.0
2020-12-29,38.0,17680.0,947.0
2020-12-29,39.0,18377.0,362.0
2020-12-29,40.0,19187.0,128.0
2020-12-29,41.0,20799.0,279.0
2020-12-29,42.0,22164.0,215.0
2020-12-29,43.0,23760.0,-392.0
2020-12-29,44.0,25273.0,-411.0
2020-12-29,45.0,25796.0,-90.0
2020-12-29,46.0,27977.0,274.0
2020-12-29,47.0,29630.0,36.0
2020-12-29,48.0,30673.0,-184.0
2020-12-30,1.0,30694.0,-477.0
2020-12-30,2.0,30681.0,-714.0
2020-12-30,3.0,30854.0,-580.0
2020-12-30,4.0,31340.0,-225.0
2020-12-30,5.0,31313.0,-270.0
2020-12-30,6.0,31786.0,-29.0
2020-12-30,7.0,32177.0,90.0
2020-12-30,8.0,32546.0,273.0
2020-12-30,9.0,32419.0,-60.0
2020-12-30,10.0,32307.0,-152.0
2020-12-30,11.0,32301.0,9.0
2020-12-30,12.0,31586.0,-513.0
2020-12-30,13.0,31456.0,-263.0
2020-12-30,14.0,29957.0,-401.0
2020-12-30,15.0,27286.0,49.0
2020-12-30,16.0,25747.0,-316.0
2020-12-30,17.0,24737.0,-484.0
2020-12-30,18.0,23144.0,-423.0
2020-12-30,19.0,21456.0,-876.0
2020-12-30,20.0,20443.0,-1023.0
2020-12-30,21.0,19720.0,-1367.0
2020-12-30,22.0,20047.0,-780.0
2020-12-30,23.0,19622.0,-929.0
2020-12-30,24.0,19112.0,-921.0
2020-12-30,25.0,19593.0,102.0
2020-12-30,26.0,19352.0,-105.0
2020-12-30,27.0,18876.0,268.0
2020-12-30,28.0,19091.0,543.0
2020-12-30,29.0,19410.0,1010.0
2020-12-30,30.0,19042.0,775.0
2020-12-30,31.0,18715.0,399.0
2020-12-30,32.0,17866.0,134.0
2020-12-30,33.0,16809.0,458.0
2020-12-30,34.0,15230.0,-257.0
2020-12-30,35.0,14693.0,-405.0
2020-12-30,36.0,14637.0,-316.0
2020-12-30,37.0,15320.0,-73.0
2020-12-30,38.0,16462.0,405.0
2020-12-30,39.0,17889.0,211.0
2020-12-30,40.0,18974.0,518.0
2020-12-30,41.0,20428.0,658.0
2020-12-30,42.0,21054.0,91.0
2020-12-30,43.0,22339.0,286.0
2020-12-30,44.0,23857.0,1339.0
2020-12-30,45.0,24700.0,-267.0
2020-12-30,46.0,26081.0,626.0
2020-12-30,47.0,27641.0,487.0
2020-12-30,48.0,28942.0,34.0
2020-12-31,1.0,29828.0,24.0
2020-12-31,2.0,29729.0,-180.0
2020-12-31,3.0,29845.0,-3.0
2020-12-31,4.0,30218.0,-123.0
2020-12-31,5.0,30099.0,-289.0
2020-12-31,6.0,30229.0,-367.0
2020-12-31,7.0,30727.0,-16.0
2020-12-31,8.0,31093.0,25.0
2020-12-31,9.0,31200.0,158.0
2020-12-31,10.0,31417.0,321.0
2020-12-31,11.0,31821.0,-94.0
2020-12-31,12.0,30744.0,-390.0
2020-12-31,13.0,30193.0,-156.0
2020-12-31,14.0,29054.0,-309.0
2020-12-31,15.0,27915.0,-204.0
2020-12-31,16.0,26671.0,-316.0
2020-12-31,17.0,25471.0,-51.0
2020-12-31,18.0,23969.0,126.0
2020-12-31,19.0,22903.0,-32.0
2020-12-31,20.0,22326.0,-127.0
2020-12-31,21.0,21770.0,-613.0
2020-12-31,22.0,21505.0,-713.0
2020-12-31,23.0,21112.0,-753.0
2020-12-31,24.0,21287.0,77.0
2020-12-31,25.0,22195.0,1249.0
2020-12-31,26.0,21691.0,1070.0
2020-12-31,27.0,21628.0,1177.0
2020-12-31,28.0,21545.0,764.0
2020-12-31,29.0,21534.0,324.0
2020-12-31,30.0,21086.0,564.0
2020-12-31,31.0,20717.0,858.0
2020-12-31,32.0,20258.0,1185.0
2020-12-31,33.0,18833.0,795.0
2020-12-31,34.0,17462.0,48.0
2020-12-31,35.0,16502.0,-297.0
2020-12-31,36.0,16662.0,-2.0
2020-12-31,37.0,16969.0,285.0
2020-12-31,38.0,17712.0,106.0
2020-12-31,39.0,18875.0,-550.0
2020-12-31,40.0,20379.0,-658.0
2020-12-31,41.0,21390.0,-1067.0
2020-12-31,42.0,22590.0,-1386.0
2020-12-31,43.0,24665.0,-1355.0
2020-12-31,44.0,26392.0,-1339.0
2020-12-31,45.0,27441.0,-399.0
2020-12-31,46.0,28064.0,-494.0
2020-12-31,47.0,28983.0,-1083.0
2020-12-31,48.0,29405.0,-1336.0
2021-01-01,1.0,29229.0,-1823.0
2021-01-01,2.0,29314.0,-1777.0
2021-01-01,3.0,29385.0,-1259.0
2021-01-01,4.0,30038.0,-726.0
2021-01-01,5.0,30396.0,-304.0
2021-01-01,6.0,30815.0,-246.0
2021-01-01,7.0,31078.0,-523.0
2021-01-01,8.0,31826.0,-400.0
2021-01-01,9.0,32330.0,-442.0
2021-01-01,10.0,32582.0,-251.0
2021-01-01,11.0,32934.0,-637.0
2021-01-01,12.0,32125.0,-904.0
2021-01-01,13.0,31903.0,-1046.0
2021-01-01,14.0,31606.0,-943.0
2021-01-01,15.0,31846.0,-210.0
2021-01-01,16.0,31569.0,-358.0
2021-01-01,17.0,30989.0,-482.0
