settlementDate,settlementPeriod,System total load Consumption
2021-01-02,6.0,25252.0
2021-01-02,7.0,24647.0
2021-01-02,8.0,24165.0
2021-01-02,9.0,24025.0
2021-01-02,10.0,24030.0
2021-01-02,11.0,24099.0
2021-01-02,12.0,24758.0
2021-01-02,13.0,25639.0
2021-01-02,14.0,26592.0
2021-01-02,15.0,27485.0
2021-01-02,16.0,28421.0
2021-01-02,17.0,29787.0
2021-01-02,18.0,31365.0
2021-01-02,19.0,32804.0
2021-01-02,20.0,33820.0
2021-01-02,21.0,34824.0
2021-01-02,22.0,35742.0
2021-01-02,23.0,36319.0
2021-01-02,24.0,36761.0
2021-01-02,25.0,36925.0
2021-01-02,26.0,36790.0
2021-01-02,27.0,36606.0
2021-01-02,28.0,36303.0
2021-01-02,29.0,35833.0
2021-01-02,30.0,35409.0
2021-01-02,31.0,35457.0
2021-01-02,32.0,36492.0
2021-01-02,33.0,38463.0
2021-01-02,34.0,40178.0
2021-01-02,35.0,40773.0
2021-01-02,36.0,40657.0
2021-01-02,37.0,40253.0
2021-01-02,38.0,39530.0
2021-01-02,39.0,38583.0
2021-01-02,40.0,37656.0
2021-01-02,41.0,36686.0
2021-01-02,42.0,35567.0
2021-01-02,43.0,34302.0
2021-01-02,44.0,32918.0
2021-01-02,45.0,31762.0
2021-01-02,46.0,30375.0
2021-01-02,47.0,28891.0
2021-01-02,48.0,28638.0
2021-01-03,1.0,28412.0
2021-01-03,2.0,28004.0
2021-01-03,3.0,27298.0
2021-01-03,4.0,26530.0
2021-01-03,5.0,26216.0
2021-01-03,6.0,25980.0
2021-01-03,7.0,25446.0
2021-01-03,8.0,24953.0
2021-01-03,9.0,24552.0
2021-01-03,10.0,24321.0
2021-01-03,11.0,24276.0
2021-01-03,12.0,24562.0
2021-01-03,13.0,25072.0
2021-01-03,14.0,25698.0
2021-01-03,15.0,26199.0
2021-01-03,16.0,26927.0
2021-01-03,17.0,28097.0
2021-01-03,18.0,29741.0
2021-01-03,19.0,31617.0
2021-01-03,20.0,33088.0
2021-01-03,21.0,34426.0
2021-01-03,22.0,35528.0
2021-01-03,23.0,36447.0
2021-01-03,24.0,37497.0
2021-01-03,25.0,38122.0
2021-01-03,26.0,38298.0
2021-01-03,27.0,38282.0
2021-01-03,28.0,37993.0
2021-01-03,29.0,37813.0
2021-01-03,30.0,37871.0
2021-01-03,31.0,38227.0
2021-01-03,32.0,39059.0
2021-01-03,33.0,40785.0
2021-01-03,34.0,41884.0
2021-01-03,35.0,41952.0
2021-01-03,36.0,41802.0
2021-01-03,37.0,41205.0
2021-01-03,38.0,40444.0
2021-01-03,39.0,39563.0
2021-01-03,40.0,38608.0
2021-01-03,41.0,37452.0
2021-01-03,42.0,36059.0
2021-01-03,43.0,34560.0
2021-01-03,44.0,32909.0
2021-01-03,45.0,31175.0
2021-01-03,46.0,29311.0
2021-01-03,47.0,27861.0
2021-01-03,48.0,27441.0
2021-01-04,1.0,27152.0
2021-01-04,2.0,27526.0
2021-01-04,3.0,27082.0
2021-01-04,4.0,26540.0
2021-01-04,5.0,26346.0
2021-01-04,6.0,26177.0
2021-01-04,7.0,25872.0
2021-01-04,8.0,25576.0
2021-01-04,9.0,25441.0
2021-01-04,10.0,25797.0
2021-01-04,11.0,26623.0
2021-01-04,12.0,28925.0
2021-01-04,13.0,32267.0
2021-01-04,14.0,35697.0
2021-01-04,15.0,38685.0
2021-01-04,16.0,40198.0
2021-01-04,17.0,40702.0
2021-01-04,18.0,41418.0
2021-01-04,19.0,42302.0
2021-01-04,20.0,42639.0
2021-01-04,21.0,43171.0
2021-01-04,22.0,43814.0
2021-01-04,23.0,44181.0
2021-01-04,24.0,44567.0
2021-01-04,25.0,44809.0
2021-01-04,26.0,45055.0
2021-01-04,27.0,45166.0
2021-01-04,28.0,45056.0
2021-01-04,29.0,44815.0
2021-01-04,30.0,44822.0
2021-01-04,31.0,45834.0
2021-01-04,32.0,47105.0
2021-01-04,33.0,48298.0
2021-01-04,34.0,48560.0
2021-01-04,35.0,47795.0
2021-01-04,36.0,47159.0
2021-01-04,37.0,46654.0
2021-01-04,38.0,46164.0
2021-01-04,39.0,45284.0
2021-01-04,40.0,43827.0
2021-01-04,41.0,41944.0
2021-01-04,42.0,39962.0
2021-01-04,43.0,37842.0
2021-01-04,44.0,35600.0
2021-01-04,45.0,33591.0
2021-01-04,46.0,31449.0
2021-01-04,47.0,29542.0
2021-01-04,48.0,28757.0
2021-01-05,1.0,28872.0
2021-01-05,2.0,29071.0
2021-01-05,3.0,28926.0
2021-01-05,4.0,28542.0
2021-01-05,5.0,28288.0
2021-01-05,6.0,28092.0
2021-01-05,7.0,27593.0
2021-01-05,8.0,27169.0
2021-01-05,9.0,27047.0
2021-01-05,10.0,27419.0
2021-01-05,11.0,28348.0
2021-01-05,12.0,30662.0
2021-01-05,13.0,34035.0
2021-01-05,14.0,37572.0
2021-01-05,15.0,40439.0
2021-01-05,16.0,41706.0
2021-01-05,17.0,41986.0
2021-01-05,18.0,42569.0
2021-01-05,19.0,43550.0
2021-01-05,20.0,43980.0
2021-01-05,21.0,44247.0
2021-01-05,22.0,44528.0
2021-01-05,23.0,44917.0
2021-01-05,24.0,45537.0
2021-01-05,25.0,45736.0
2021-01-05,26.0,45606.0
2021-01-05,27.0,45448.0
2021-01-05,28.0,45044.0
2021-01-05,29.0,44567.0
2021-01-05,30.0,44239.0
2021-01-05,31.0,44849.0
2021-01-05,32.0,46462.0
2021-01-05,33.0,48388.0
2021-01-05,34.0,49895.0
2021-01-05,35.0,50217.0
2021-01-05,36.0,49528.0
2021-01-05,37.0,48524.0
2021-01-05,38.0,47390.0
2021-01-05,39.0,45943.0
2021-01-05,40.0,44233.0
2021-01-05,41.0,42312.0
2021-01-05,42.0,40492.0
2021-01-05,43.0,38630.0
2021-01-05,44.0,36048.0
2021-01-05,45.0,33922.0
2021-01-05,46.0,31960.0
2021-01-05,47.0,29957.0
2021-01-05,48.0,29325.0
2021-01-06,1.0,29237.0
2021-01-06,2.0,29439.0
2021-01-06,3.0,29081.0
2021-01-06,4.0,28656.0
2021-01-06,5.0,28507.0
2021-01-06,6.0,28131.0
2021-01-06,7.0,27554.0
2021-01-06,8.0,27248.0
2021-01-06,9.0,27192.0
2021-01-06,10.0,27596.0
2021-01-06,11.0,28446.0
2021-01-06,12.0,30817.0
2021-01-06,13.0,34444.0
2021-01-06,14.0,38057.0
2021-01-06,15.0,40814.0
2021-01-06,16.0,41722.0
2021-01-06,17.0,41589.0
2021-01-06,18.0,41754.0
2021-01-06,19.0,42368.0
2021-01-06,20.0,42564.0
2021-01-06,21.0,42707.0
2021-01-06,22.0,42944.0
2021-01-06,23.0,43128.0
2021-01-06,24.0,43365.0
2021-01-06,25.0,43491.0
2021-01-06,26.0,43478.0
2021-01-06,27.0,43358.0
2021-01-06,28.0,43534.0
2021-01-06,29.0,43459.0
2021-01-06,30.0,43142.0
2021-01-06,31.0,43432.0
2021-01-06,32.0,44673.0
2021-01-06,33.0,46419.0
2021-01-06,34.0,47498.0
2021-01-06,35.0,47962.0
2021-01-06,36.0,47682.0
2021-01-06,37.0,46527.0
2021-01-06,38.0,45196.0
2021-01-06,39.0,43860.0
2021-01-06,40.0,42212.0
2021-01-06,41.0,40389.0
2021-01-06,42.0,38761.0
2021-01-06,43.0,37026.0
2021-01-06,44.0,34981.0
2021-01-06,45.0,33134.0
2021-01-06,46.0,31202.0
2021-01-06,47.0,29567.0
2021-01-06,48.0,29305.0
2021-01-07,1.0,29770.0
2021-01-07,2.0,29928.0
2021-01-07,3.0,29487.0
2021-01-07,4.0,28951.0
2021-01-07,5.0,28741.0
