settlementDate,settlementPeriod,Solar generation,Wind Offshore generation,Wind Onshore generation
2020-12-24,22.0,2459.0,9311.981,5111.955
2020-12-24,23.0,2716.0,9235.651,4946.206
2020-12-24,24.0,2852.0,9235.651,4946.206
2020-12-24,25.0,2868.0,9184.266,4793.06
2020-12-24,26.0,2708.0,9184.266,4793.06
2020-12-24,27.0,2331.0,9096.503,4729.157
2020-12-24,28.0,1821.0,9096.503,4729.157
2020-12-24,29.0,1279.0,9070.508,4532.119
2020-12-24,30.0,764.0,9070.508,4532.119
2020-12-24,31.0,328.0,9000.888,4281.54
2020-12-24,32.0,50.0,9000.888,4281.54
2020-12-24,33.0,0.0,8902.527,4000.452
2020-12-24,34.0,0.0,8902.527,4000.452
2020-12-24,35.0,0.0,8753.422,3729.802
2020-12-24,36.0,0.0,8753.422,3729.802
2020-12-24,37.0,0.0,8550.07,3472.678
2020-12-24,38.0,0.0,8550.07,3472.678
2020-12-24,39.0,0.0,8303.439,3116.923
2020-12-24,40.0,0.0,8303.439,3116.923
2020-12-24,41.0,0.0,8019.253,2799.313
2020-12-24,42.0,0.0,8019.253,2799.313
2020-12-24,43.0,0.0,7677.203,2470.25
2020-12-24,44.0,0.0,7677.203,2470.25
2020-12-24,45.0,0.0,7307.714,2289.642
2020-12-24,46.0,0.0,7307.714,2289.642
2020-12-24,47.0,0.0,6952.332,2168.026
2020-12-24,48.0,0.0,6952.332,2168.026
2020-12-25,1.0,0.0,6886.717,1998.366
2020-12-25,2.0,0.0,6886.717,1998.366
2020-12-25,3.0,0.0,6622.373,1900.254
2020-12-25,4.0,0.0,6622.373,1900.254
2020-12-25,5.0,0.0,6354.606,1871.554
2020-12-25,6.0,0.0,6354.606,1871.554
2020-12-25,7.0,0.0,6177.501,1853.939
2020-12-25,8.0,0.0,6177.501,1853.939
2020-12-25,9.0,0.0,6073.178,1930.486
2020-12-25,10.0,0.0,6073.178,1930.486
2020-12-25,11.0,0.0,5937.683,2016.294
2020-12-25,12.0,0.0,5937.683,2016.294
2020-12-25,13.0,0.0,5811.263,2129.875
2020-12-25,14.0,0.0,5811.263,2129.875
2020-12-25,15.0,0.0,5656.351,2326.328
2020-12-25,16.0,0.0,5656.351,2326.328
2020-12-25,17.0,124.0,5413.945,2579.082
2020-12-25,18.0,426.0,5413.945,2579.082
2020-12-25,19.0,950.0,5134.011,2855.956
2020-12-25,20.0,1597.0,5134.011,2855.956
2020-12-25,21.0,2236.0,4811.288,3193.053
2020-12-25,22.0,2735.0,4811.288,3193.053
2020-12-25,23.0,2989.0,4634.902,3610.17
2020-12-25,24.0,3018.0,4634.902,3610.17
2020-12-25,25.0,2878.0,4551.694,4120.359
2020-12-25,26.0,2611.0,4551.694,4120.359
2020-12-25,27.0,2250.0,4749.827,4631.37
2020-12-25,28.0,1793.0,4749.827,4631.37
2020-12-25,29.0,1246.0,5029.251,5139.791
2020-12-25,30.0,703.0,5029.251,5139.791
2020-12-25,31.0,275.0,5224.612,5548.382
2020-12-25,32.0,22.0,5224.612,5548.382
2020-12-25,33.0,0.0,5161.387,5851.464
2020-12-25,34.0,0.0,5161.387,5851.464
2020-12-25,35.0,10.0,5088.272,6110.814
2020-12-25,36.0,0.0,5088.272,6110.814
2020-12-25,37.0,0.0,4995.646,6374.463
2020-12-25,38.0,0.0,4995.646,6374.463
2020-12-25,39.0,0.0,5193.761,6555.952
2020-12-25,40.0,0.0,5193.761,6555.952
2020-12-25,41.0,0.0,5455.215,6585.315
2020-12-25,42.0,0.0,5455.215,6585.315
2020-12-25,43.0,0.0,5814.662,6484.888
2020-12-25,44.0,0.0,5814.662,6484.888
2020-12-25,45.0,0.0,6297.742,6314.166
2020-12-25,46.0,0.0,6297.742,6314.166
2020-12-25,47.0,0.0,6673.058,6080.756
2020-12-25,48.0,0.0,6673.058,6080.756
2020-12-26,1.0,0.0,6497.551,5451.543
2020-12-26,2.0,0.0,6497.551,5451.543
2020-12-26,3.0,0.0,6862.7,5768.254
2020-12-26,4.0,0.0,6862.7,5768.254
2020-12-26,5.0,0.0,7171.751,6121.801
2020-12-26,6.0,0.0,7171.751,6121.801
2020-12-26,7.0,0.0,7507.541,6419.369
2020-12-26,8.0,0.0,7507.541,6419.369
2020-12-26,9.0,0.0,7816.587,6709.151
2020-12-26,10.0,0.0,7816.587,6709.151
2020-12-26,11.0,0.0,8028.109,6955.441
2020-12-26,12.0,0.0,8028.109,6955.441
2020-12-26,13.0,0.0,8163.515,7135.078
2020-12-26,14.0,0.0,8163.515,7135.078
2020-12-26,15.0,0.0,8379.272,7322.191
2020-12-26,16.0,0.0,8379.272,7322.191
2020-12-26,17.0,29.0,8600.898,7504.912
2020-12-26,18.0,121.0,8600.898,7504.912
2020-12-26,19.0,309.0,8781.157,7715.313
2020-12-26,20.0,550.0,8781.157,7715.313
2020-12-26,21.0,786.0,8947.572,8065.238
2020-12-26,22.0,979.0,8947.572,8065.238
2020-12-26,23.0,1102.0,9110.667,8424.71
2020-12-26,24.0,1132.0,9110.667,8424.71
2020-12-26,25.0,1063.0,9235.677,8707.248
2020-12-26,26.0,938.0,9235.677,8707.248
2020-12-26,27.0,798.0,9318.003,8867.006
2020-12-26,28.0,629.0,9318.003,8867.006
2020-12-26,29.0,417.0,9409.604,8974.162
2020-12-26,30.0,216.0,9409.604,8974.162
2020-12-26,31.0,79.0,9488.104,9006.065
2020-12-26,32.0,0.0,9488.104,9006.065
2020-12-26,33.0,0.0,9591.04,9056.965
2020-12-26,34.0,0.0,9591.04,9056.965
2020-12-26,35.0,0.0,9660.057,9124.3
2020-12-26,36.0,0.0,9660.057,9124.3
2020-12-26,37.0,0.0,9722.542,9202.137
2020-12-26,38.0,0.0,9722.542,9202.137
2020-12-26,39.0,0.0,9775.039,8882.018
2020-12-26,40.0,0.0,9775.039,8882.018
2020-12-26,41.0,0.0,9730.844,8868.972
2020-12-26,42.0,0.0,9730.844,8868.972
2020-12-26,43.0,0.0,8909.263,8724.409
2020-12-26,44.0,0.0,8909.263,8724.409
2020-12-26,45.0,0.0,8911.7,8527.19
2020-12-26,46.0,0.0,8911.7,8527.19
2020-12-26,47.0,0.0,9812.998,8386.211
2020-12-26,48.0,0.0,9812.998,8386.211
2020-12-27,1.0,0.0,9772.097,7823.482
2020-12-27,2.0,0.0,9772.097,7823.482
2020-12-27,3.0,0.0,9694.708,7537.695
2020-12-27,4.0,0.0,9694.708,7537.695
2020-12-27,5.0,0.0,9640.924,7086.937
2020-12-27,6.0,0.0,9640.924,7086.937
2020-12-27,7.0,0.0,8626.618,6953.936
2020-12-27,8.0,0.0,8626.618,6953.936
2020-12-27,9.0,0.0,8597.767,6629.342
2020-12-27,10.0,0.0,8597.767,6629.342
2020-12-27,11.0,0.0,8552.462,6205.721
2020-12-27,12.0,0.0,8552.462,6205.721
2020-12-27,13.0,0.0,9114.158,5862.426
2020-12-27,14.0,0.0,9114.158,5862.426
2020-12-27,15.0,0.0,9287.886,5620.061
2020-12-27,16.0,0.0,9287.886,5620.061
2020-12-27,17.0,100.0,9066.134,5443.402
2020-12-27,18.0,379.0,9066.134,5443.402
2020-12-27,19.0,899.0,8671.065,5232.327
2020-12-27,20.0,1557.0,8671.065,5232.327
2020-12-27,21.0,2216.0,8263.23,5102.245
2020-12-27,22.0,2759.0,8263.23,5102.245
2020-12-27,23.0,3095.0,7747.098,5021.284
2020-12-27,24.0,3221.0,7747.098,5021.284
2020-12-27,25.0,3150.0,6831.893,4815.131
2020-12-27,26.0,2886.0,6831.893,4815.131
2020-12-27,27.0,2442.0,6046.952,4435.256
2020-12-27,28.0,1882.0,6046.952,4435.256
2020-12-27,29.0,1284.0,5269.32,3924.419
2020-12-27,30.0,729.0,5269.32,3924.419
2020-12-27,31.0,294.0,4747.673,3433.483
2020-12-27,32.0,34.0,4747.673,3433.483
2020-12-27,33.0,0.0,4412.112,2955.791
2020-12-27,34.0,0.0,4412.112,2955.791
2020-12-27,35.0,0.0,4130.885,2566.969
2020-12-27,36.0,0.0,4130.885,2566.969
2020-12-27,37.0,0.0,3700.833,2236.316
2020-12-27,38.0,0.0,3700.833,2236.316
2020-12-27,39.0,0.0,3340.218,2108.751
2020-12-27,40.0,0.0,3340.218,2108.751
2020-12-27,41.0,0.0,2877.395,1964.751
2020-12-27,42.0,0.0,2877.395,1964.751
2020-12-27,43.0,0.0,2596.986,1853.071
2020-12-27,44.0,0.0,2596.986,1853.071
2020-12-27,45.0,0.0,2379.672,1861.455
2020-12-27,46.0,0.0,2379.672,1861.455
2020-12-27,47.0,0.0,2215.108,1829.765
2020-12-27,48.0,0.0,2215.108,1829.765
2020-12-28,1.0,0.0,3799.732,2275.487
2020-12-28,2.0,0.0,3799.732,2275.487
2020-12-28,3.0,0.0,3330.375,2141.027
2020-12-28,4.0,0.0,3330.375,2141.027
2020-12-28,5.0,0.0,2926.828,1980.379
2020-12-28,6.0,0.0,2926.828,1980.379
2020-12-28,7.0,0.0,2422.858,1887.317
2020-12-28,8.0,0.0,2422.858,1887.317
2020-12-28,9.0,0.0,1960.355,1798.371
2020-12-28,10.0,0.0,1960.355,1798.371
2020-12-28,11.0,0.0,1683.982,1712.884
2020-12-28,12.0,0.0,1683.982,1712.884
2020-12-28,13.0,0.0,1528.287,1638.305
2020-12-28,14.0,0.0,1528.287,1638.305
2020-12-28,15.0,0.0,1547.083,1588.932
2020-12-28,16.0,0.0,1547.083,1588.932
2020-12-28,17.0,80.0,1540.856,1487.231
2020-12-28,18.0,258.0,1540.856,1487.231
2020-12-28,19.0,551.0,1598.268,1424.488
2020-12-28,20.0,893.0,1598.268,1424.488
2020-12-28,21.0,1215.0,1540.582,1392.494
2020-12-28,22.0,1487.0,1540.582,1392.494
2020-12-28,23.0,1682.0,1536.761,1375.041
2020-12-28,24.0,1787.0,1536.761,1375.041
2020-12-28,25.0,1794.0,1438.436,1365.759
2020-12-28,26.0,1678.0,1438.436,1365.759
2020-12-28,27.0,1434.0,1411.039,1429.485
2020-12-28,28.0,1125.0,1411.039,1429.485
2020-12-28,29.0,814.0,1439.906,1525.253
2020-12-28,30.0,507.0,1439.906,1525.253
2020-12-28,31.0,219.0,1416.206,1570.2
2020-12-28,32.0,24.0,1416.206,1570.2
2020-12-28,33.0,0.0,1426.407,1642.681
2020-12-28,34.0,0.0,1426.407,1642.681
2020-12-28,35.0,0.0,1515.635,1717.341
2020-12-28,36.0,0.0,1515.635,1717.341
