settlementDate,settlementPeriod,Generation forecast Production
2020-12-27,29.0,33002.0
2020-12-27,30.0,32600.0
2020-12-27,31.0,33055.0
2020-12-27,32.0,34072.0
2020-12-27,33.0,35539.0
2020-12-27,34.0,35675.0
2020-12-27,35.0,35731.0
2020-12-27,36.0,36046.0
2020-12-27,37.0,35783.0
2020-12-27,38.0,35544.0
2020-12-27,39.0,35111.0
2020-12-27,40.0,34845.0
2020-12-27,41.0,34324.0
2020-12-27,42.0,33702.0
2020-12-27,43.0,31755.0
2020-12-27,44.0,30168.0
2020-12-27,45.0,29372.0
2020-12-27,46.0,27935.0
2020-12-27,47.0,22322.0
2020-12-27,48.0,18923.0
2020-12-28,1.0,22962.0
2020-12-28,2.0,22757.0
2020-12-28,3.0,22294.0
2020-12-28,4.0,22058.0
2020-12-28,5.0,21843.0
2020-12-28,6.0,21622.0
2020-12-28,7.0,21316.0
2020-12-28,8.0,21242.0
2020-12-28,9.0,20988.0
2020-12-28,10.0,20822.0
2020-12-28,11.0,21142.0
2020-12-28,12.0,21519.0
2020-12-28,13.0,21860.0
2020-12-28,14.0,23310.0
2020-12-28,15.0,24958.0
2020-12-28,16.0,25483.0
2020-12-28,17.0,26324.0
2020-12-28,18.0,27653.0
2020-12-28,19.0,29697.0
2020-12-28,20.0,30923.0
2020-12-28,21.0,32169.0
2020-12-28,22.0,33233.0
2020-12-28,23.0,33972.0
2020-12-28,24.0,34311.0
2020-12-28,25.0,34375.0
2020-12-28,26.0,34230.0
2020-12-28,27.0,34094.0
2020-12-28,28.0,33965.0
2020-12-28,29.0,33656.0
2020-12-28,30.0,33656.0
2020-12-28,31.0,34020.0
2020-12-28,32.0,34032.0
2020-12-28,33.0,34892.0
2020-12-28,34.0,35158.0
2020-12-28,35.0,35365.0
2020-12-28,36.0,35504.0
2020-12-28,37.0,35516.0
2020-12-28,38.0,35555.0
2020-12-28,39.0,35199.0
2020-12-28,40.0,34491.0
2020-12-28,41.0,32265.0
2020-12-28,42.0,31505.0
2020-12-28,43.0,29779.0
2020-12-28,44.0,28306.0
2020-12-28,45.0,27419.0
2020-12-28,46.0,25107.0
2020-12-28,47.0,21043.0
2020-12-28,48.0,18744.0
2020-12-29,1.0,22297.0
2020-12-29,2.0,22071.0
2020-12-29,3.0,21819.0
2020-12-29,4.0,21538.0
2020-12-29,5.0,21446.0
2020-12-29,6.0,21136.0
2020-12-29,7.0,20775.0
2020-12-29,8.0,20871.0
2020-12-29,9.0,21053.0
2020-12-29,10.0,21202.0
2020-12-29,11.0,21524.0
2020-12-29,12.0,21831.0
2020-12-29,13.0,22930.0
2020-12-29,14.0,25525.0
2020-12-29,15.0,29043.0
2020-12-29,16.0,29437.0
2020-12-29,17.0,29899.0
2020-12-29,18.0,30885.0
2020-12-29,19.0,33414.0
2020-12-29,20.0,34621.0
2020-12-29,21.0,35415.0
2020-12-29,22.0,35732.0
2020-12-29,23.0,35946.0
2020-12-29,24.0,36110.0
2020-12-29,25.0,36331.0
2020-12-29,26.0,36359.0
2020-12-29,27.0,36052.0
2020-12-29,28.0,35940.0
2020-12-29,29.0,35871.0
2020-12-29,30.0,35720.0
2020-12-29,31.0,35499.0
2020-12-29,32.0,35503.0
2020-12-29,33.0,36482.0
2020-12-29,34.0,36884.0
2020-12-29,35.0,37220.0
2020-12-29,36.0,37282.0
2020-12-29,37.0,37403.0
2020-12-29,38.0,37470.0
2020-12-29,39.0,36300.0
2020-12-29,40.0,35493.0
2020-12-29,41.0,34314.0
2020-12-29,42.0,32859.0
2020-12-29,43.0,31356.0
2020-12-29,44.0,29774.0
2020-12-29,45.0,29326.0
2020-12-29,46.0,28123.0
2020-12-29,47.0,24649.0
2020-12-29,48.0,22575.0
2020-12-30,1.0,25942.0
2020-12-30,2.0,25568.0
2020-12-30,3.0,25417.0
2020-12-30,4.0,25424.0
2020-12-30,5.0,25334.0
2020-12-30,6.0,25241.0
2020-12-30,7.0,25152.0
2020-12-30,8.0,24850.0
2020-12-30,9.0,24587.0
2020-12-30,10.0,24435.0
2020-12-30,11.0,24474.0
2020-12-30,12.0,24607.0
2020-12-30,13.0,25233.0
2020-12-30,14.0,26877.0
2020-12-30,15.0,30028.0
2020-12-30,16.0,30847.0
2020-12-30,17.0,31576.0
2020-12-30,18.0,32297.0
2020-12-30,19.0,33901.0
2020-12-30,20.0,35695.0
2020-12-30,21.0,36898.0
2020-12-30,22.0,37672.0
2020-12-30,23.0,38128.0
2020-12-30,24.0,38358.0
2020-12-30,25.0,38469.0
2020-12-30,26.0,38424.0
2020-12-30,27.0,38272.0
2020-12-30,28.0,37744.0
2020-12-30,29.0,37479.0
2020-12-30,30.0,37352.0
2020-12-30,31.0,37477.0
2020-12-30,32.0,37793.0
2020-12-30,33.0,38557.0
2020-12-30,34.0,38738.0
2020-12-30,35.0,38728.0
2020-12-30,36.0,38784.0
2020-12-30,37.0,38717.0
2020-12-30,38.0,38580.0
2020-12-30,39.0,37598.0
2020-12-30,40.0,36085.0
2020-12-30,41.0,34450.0
2020-12-30,42.0,33594.0
2020-12-30,43.0,31830.0
2020-12-30,44.0,29902.0
2020-12-30,45.0,28814.0
2020-12-30,46.0,27167.0
2020-12-30,47.0,22089.0
2020-12-30,48.0,19617.0
2020-12-31,1.0,24831.0
2020-12-31,2.0,24752.0
2020-12-31,3.0,24629.0
2020-12-31,4.0,24428.0
2020-12-31,5.0,23946.0
2020-12-31,6.0,23942.0
